playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
cashda01,1969,1980,1571,21,426,NULL,NULL,NULL,NULL,NULL,0
cashno01,1958,1974,1820,377,1103,NULL,NULL,NULL,NULL,2,0
castilu01,1996,2010,1889,28,443,NULL,NULL,NULL,NULL,3,0
castivi02,1991,2006,1884,320,1105,NULL,NULL,NULL,NULL,6,0
cavarph01,1934,1955,1977,95,920,NULL,NULL,NULL,NULL,5,0
cedence01,1970,1986,2087,199,976,NULL,NULL,NULL,NULL,9,0
cepedor01,1958,1974,2351,379,1365,NULL,NULL,NULL,NULL,7,1
ceyro01,1971,1987,1868,316,1139,NULL,NULL,NULL,NULL,3,0
chambch01,1971,1988,2109,185,972,NULL,NULL,NULL,NULL,3,0
chancfr01,1898,1914,1273,20,596,NULL,NULL,NULL,NULL,2,1
chandsp01,1937,1947,110,9,45,184,1327,463,614,7,0
chapmbe01,1930,1946,1958,90,977,16,147,71,65,NULL,0
chapmra01,1912,1920,1053,17,364,NULL,NULL,NULL,NULL,3,0
chapmsa01,1938,1951,1329,180,773,NULL,NULL,NULL,NULL,NULL,0
charlos99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
chaseha01,1905,1919,2158,57,941,0,0,0,0,9,0
chesbja01,1899,1909,217,5,82,332,2642,690,1265,NULL,1
cirilje01,1994,2007,1598,112,727,0,0,2,1,NULL,0
cissebi01,1928,1938,990,29,423,NULL,NULL,NULL,NULL,NULL,0
clarkfr01,1894,1915,2672,67,1015,NULL,NULL,NULL,NULL,6,1
clarkho01,1965,1974,1230,27,304,NULL,NULL,NULL,NULL,NULL,0
clarkja01,1975,1992,1826,340,1180,NULL,NULL,NULL,NULL,4,0
clarkjo01,1882,1894,432,24,232,518,4295,1191,1978,1,1
clarkto02,1995,2009,1188,251,824,NULL,NULL,NULL,NULL,NULL,0
clarkwi02,1986,2000,2176,284,1205,NULL,NULL,NULL,NULL,7,0
claytro01,1991,2007,1904,110,723,NULL,NULL,NULL,NULL,NULL,0
clemero01,1955,1972,3000,240,1305,NULL,NULL,NULL,NULL,21,1
clemero02,1984,2007,31,0,12,707,4185,1580,4672,22,0
coaklan01,1902,1911,42,0,6,124,1021,314,428,NULL,0
cobbty01,1905,1928,4189,117,1937,0,6,2,0,31,1
cochrmi01,1925,1937,1652,119,832,NULL,NULL,NULL,NULL,28,1
colavro01,1955,1968,1730,374,1159,0,1,5,2,1,0
colboji01,1969,1978,4,0,1,204,1619,475,688,NULL,0
colemvi01,1985,1997,1425,28,346,NULL,NULL,NULL,NULL,1,0
collied01,1906,1930,3315,47,1300,NULL,NULL,NULL,NULL,29,1
colliji01,1895,1908,1999,65,983,NULL,NULL,NULL,NULL,NULL,1
